dataforge-sensor-generators  | 2026-09-24 14:10:00,072  INFO  Published totals — radar=17447 lidar=17500 telemetry=17321 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,097  INFO  Published totals — radar=17500 lidar=17564 telemetry=17377 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,166  INFO  Published totals — radar=17609 lidar=17675 telemetry=17500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,346  INFO  Published totals — radar=17907 lidar=18000 telemetry=17779 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,411  INFO  Published totals — radar=18000 lidar=18114 telemetry=17876 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,472  INFO  Published totals — radar=18119 lidar=18221 telemetry=18000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,579  INFO  Published totals — radar=18374 lidar=18500 telemetry=18262 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,639  INFO  Published totals — radar=18500 lidar=18631 telemetry=18396 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,684  INFO  Published totals — radar=18585 lidar=18724 telemetry=18500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,818  INFO  Published totals — radar=18874 lidar=19000 telemetry=18757 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,869  INFO  Published totals — radar=19000 lidar=19142 telemetry=18885 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:00,913  INFO  Published totals — radar=19128 lidar=19243 telemetry=19000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:01,003  INFO  Published totals — radar=19376 lidar=19500 telemetry=19261 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:01,040  INFO  Published totals — radar=19500 lidar=19633 telemetry=19398 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:01,079  INFO  Published totals — radar=19608 lidar=19754 telemetry=19500 | failed — radar=0 lidar=0 telemetry=0
