dataforge-sensor-generators  | 2026-09-20 09:41:34,087  INFO  Published totals — radar=297000 lidar=297469 telemetry=296818 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,102  INFO  Published totals — radar=297026 lidar=297500 telemetry=296849 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,196  INFO  Published totals — radar=297172 lidar=297634 telemetry=297000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,405  INFO  Published totals — radar=297500 lidar=297971 telemetry=297317 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,429  INFO  Published totals — radar=297533 lidar=298000 telemetry=297353 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,519  INFO  Published totals — radar=297692 lidar=298139 telemetry=297500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,694  INFO  Published totals — radar=298000 lidar=298418 telemetry=297774 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,737  INFO  Published totals — radar=298066 lidar=298500 telemetry=297840 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:34,864  INFO  Published totals — radar=298241 lidar=298692 telemetry=298000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,063  INFO  Published totals — radar=298500 lidar=298992 telemetry=298296 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,068  INFO  Published totals — radar=298504 lidar=299000 telemetry=298303 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,172  INFO  Published totals — radar=298671 lidar=299161 telemetry=298500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,361  INFO  Published totals — radar=299000 lidar=299479 telemetry=298815 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,374  INFO  Published totals — radar=299026 lidar=299500 telemetry=298835 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,475  INFO  Published totals — radar=299178 lidar=299674 telemetry=299000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,734  INFO  Published totals — radar=299488 lidar=300000 telemetry=299357 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,750  INFO  Published totals — radar=299500 lidar=300011 telemetry=299364 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:35,842  INFO  Published totals — radar=299638 lidar=300137 telemetry=299500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:36,062  INFO  Published totals — radar=299963 lidar=300500 telemetry=299825 | failed — radar=0 lidar=0 telemetry=0
